TI3000963	[rxn18741]
TR0000144	[rxn09352]
TR0000023	[rxn08633]
TR0000265	[rxn29423]
TR0000021	[rxn12420]
TR0000027	[rxn08617]
TR1900018	[rxn08863]
TR0000026	[rxn09353]
TR0000268	[rxn09330]
TR0003652	[rxn33599]
TR0000387	[rxn29892]
TR0001239	[rxn29466]
TR0000149	[rxn08241]
TI3000838	[rxn18809]
TI3000837	[rxn18704]
TR0014652	[rxn29462]
TI3000958	[rxn18743]
TI3000836	[rxn18762]
TI3000957	[rxn18896]
TI3000835	[rxn18701]
TI3000714	[rxn18795]
TO3000240	[rxn29751]
TO3001691	[rxn18662]
TR0014659	[rxn08577]
TR1900005	[rxn05313]
TR0003880	[rxn29373]
TR0000492	[rxn08047]
TI3000712	[rxn18822]
TI3000954	[rxn18698]
TI3000832	[rxn18830]
TI3000711	[rxn18798]
TI3000952	[rxn18891]
TR0000012	[rxn29733]
TR0003885	[rxn29398]
TR0000254	[rxn05616]
TR0003887	[rxn29439]
TR2000119	[rxn13314]
TR0000251	[rxn38757]
TR1010719	[rxn08261]
TR0003881	[rxn29470]
TR2000117	[rxn41654]
TR0003882	[rxn29471]
TR1900006	[rxn05595]
TR0000013	[rxn05466]
TR0003884	[rxn29484]
TR1900008	[rxn29253]
TR0000019	[rxn09785]
TR0000139	[rxn08653]
TR0000138	[rxn08886]
TR0000017	[rxn09784]
TR0000259	[rxn28582]
TI3000628	[rxn09086]
TI3000749	[rxn18879]
TI3000869	[rxn18725]
TI3000989	[rxn18856]
TR0015459	[rxn08419]
TI3000863	[rxn18836]
TR0000081	[rxn09260]
TI3000620	[rxn09091]
TI3000862	[rxn18784]
TI3000741	[rxn18820]
TI3000861	[rxn18812]
TI3000740	[rxn18699]
TI3000982	[rxn18876]
TI3000624	[rxn18284]
TI3000866	[rxn18706]
TI3000745	[rxn18821]
TI3000987	[rxn18729]
TI3000865	[rxn18785]
TR0000083	[rxn29906]
TI3000986	[rxn18767]
TR0000082	[rxn08537]
TR0001171	[rxn08587]
TR0001057	[rxn29408]
TR0000089	[rxn08545]
TR1000611	[rxn12521]
TR0001056	[rxn29374]
TR0004446	[rxn12804]
TR0001055	[rxn08115]
