25aics	cpd19032
ap4a	cpd00924
prlp	cpd02991
pphn	cpd00219
psd5p	cpd00859
sbt6p	cpd00804
doxrbcn	cpd01151
3dhq	cpd00699
alpp	cpd15395
25dkglcn	cpd01793
anth	cpd00093
3hpp	cpd00745
murein3px4p	cpd15503
fe2	cpd10515
u3aga	cpd02886
xylu__D	cpd00259
2agpg120	cpd15343
fe3	cpd10516
kdo2lipid4L	cpd03736
dtdprmn	cpd02113
dsbgrd	cpd15453
tdec2eACP	cpd11475
pacald	cpd00464
uaccg	cpd02820
seramp	cpd03452
2agpg140	cpd26437
n2o	cpd00659
glycogen	cpd00155
3hcpalm9eACP	cpd15369
2agpg141	cpd15345
xylu__L	cpd00261
lpp	cpd11959
fusa	cpd04095
25drapp	cpd00957
4ppan	cpd02201
fdp	cpd00290
12dgr120	cpd15306
glutrna	cpd12227
kdo2lipid4p	cpd15491
ugmda	cpd02932
malcoame	cpd20921
1odec11eg3p	cpd15328
5dglcn	cpd00781
5apru	cpd00931
murein3px3p	cpd15502
paps	cpd00044
N1aspmd	cpd00470
micit	cpd02799
4mpetz	cpd02654
5dh4dglc	cpd00515
mal__D	cpd00386
34dhpac	cpd02500
dhcinnm	cpd09254
pyr	cpd00020
ggbutal	cpd11341
uacmam	cpd00861
uLa4n	cpd15576
dopa	cpd02357
tdcoa	cpd01695
db4p	cpd11225
ps161	cpd15556
ps160	cpd15555
palmACP	cpd11476
mal__L	cpd00130
ascb__L	cpd00059
4abzglu	cpd26527
malthx	cpd01329
malthp	cpd15494
hphhlipa	cpd15488
dmbzid	cpd01997
4adcho	cpd08210
23doguln	cpd02784
prpp	cpd00103
lipa_cold	cpd15493
poaac	cpd21482
udp	cpd00014
melib	cpd03198
ipdp	cpd00113
dca	cpd01107
3hdecACP	cpd11482
3oxdhscoa	cpd21184
13ppd	cpd01618
pppn	cpd03343
acgal1p	cpd15390
fe3hox	cpd12843
agdpcbi	cpd03920
pppi	cpd00421
hdeACP	cpd15239
gdpddman	cpd00900
3hcddec5eACP	cpd15366
galt	cpd01171
btal	cpd01011
ps141	cpd1555
ps140	cpd15553
4ahmmp	cpd00939
ttdca	cpd03847
4abz	cpd00443
pnto__R	cpd00644
3ump	cpd00989
dsbcox	cpd15448
oxam	cpd01027
teo2	cpd24493
alaala	cpd00731
sbt__D	cpd00588
3hcinnm	cpd09252
2agpg180	cpd26427
2agpg181	cpd15349
ethso3	cpd11579
icit	cpd00260
dmlz	cpd02656
man6p	cpd00235
ribflv	cpd00220
ppp9	cpd01476
mocogdp	cpd21167
didp	cpd00976
2dmmq8	cpd15352
metsox_R__L	cpd14720
2agpe120	cpd26439
op4en	cpd27712
bbtcoa	cpd15412
hmgth	cpd09879
2hdecg3p	cpd15355
scl	cpd03426
5aizc	cpd02893
glcn	cpd00222
ac	cpd00029
glcr	cpd00571
ag	cpd04100
hdcea	cpd05274
fe3dcit	cpd03725
altrn	cpd00608
acgam6p	cpd00293
udpacgal	cpd00175
skm5p	cpd02030
t3c9palmeACP	cpd15571
acnam	cpd00232
mlthf	cpd00125
2amsa	cpd08626
2fe2s	cpd24604
Sfglutth	cpd00759
35cgmp	cpd00697
glcur1p	cpd00880
sbzcoa	cpd02021
arab__L	cpd19109
3hoctACP	cpd11483
fadh2	cpd00982
adocbip	cpd03919
arab__D	cpd00185
od2coa	cpd14937
sel	cpd03396
octeACP	cpd11825
dha	cpd00157
mmcoa__S	cpd00519
dgdp	cpd00295
hkndd	cpd02731
dhf	cpd00330
pyam5p	cpd00493
2h3oppan	cpd00843
dmpp	cpd00202
psclys	cpd15559
dgslnt	cpd20131
pydx	cpd00215
cl	cpd00099
gmhep17bp	cpd29677
cm	cpd00680
ACP	cpd11493
3haACP	cpd11836
2dr1p	cpd00509
4per	cpd02147
cu	cpd30760
urate	cpd00300
2dh3dgal	cpd00894
tre6p	cpd00523
3c4mop	cpd02605
udpLa4o	cpd14876
udpLa4n	cpd14874
4abutn	cpd00434
34hpp	cpd00868
dhptdn	cpd03360
fgam	cpd02678
indole	cpd00359
hqn	cpd00415
adocbi	cpd03918
fmn	cpd00050
gggagicolipa	cpd15477
din	cpd03279
cdpdodecg	cpd15421
all__D	cpd01055
dmso	cpd08021
galt1p	cpd03752
3fe4s	cpd22092
4mhetz	cpd02636
cynt	cpd01015
sucglu	cpd03525
kphphhlipa	cpd15492
feenter	cpd03726
ala__D	cpd00117
phaccoa	cpd00452
2agpe181	cpd15342
2agpe180	cpd15341
ahcys	cpd00019
ala__L	cpd00035
egmeACP	cpd27020
ggagicolipa	cpd15475
gicolipa	cpd15479
aspsa	cpd00346
6hmhpt	cpd00954
ile__L	cpd00322
q8h2	cpd15561
dimp	cpd03704
for	cpd00047
adphep_LD	cpd03831
h2	cpd11640
phpyr	cpd00143
gmhep7p	cpd04918
dtbt	cpd01311
thr__L	cpd00161
oaa	cpd00032
udpglcur	cpd00144
cenchddd	cpd09253
aacoa	cpd00279
2agpe141	cpd15338
2agpe140	cpd26435
dad_5	cpd03091
dad_2	cpd00438
ump	cpd00091
dpcoa	cpd00655
5caiz	cpd11310
mincyc	cpd04461
ddcaACP	cpd11468
3ocvac11eACP	cpd15376
h2o	cpd00001
3hpppn	cpd08304
h2s	cpd00239
3hhexACP	cpd11479
1tdecg3p	cpd15331
2agpe161	cpd15340
2agpe160	cpd15339
eca3und	cpd15456
34dhpha	cpd00854
his__L	cpd00119
udpg	cpd00026
fprica	cpd02884
ametam	cpd00837
ppgpp	cpd00905
adocbl	cpd00166
LalaDgluMdap	cpd15386
3hbcoa	cpd00842
ichor	cpd00658
arbtn	cpd15411
dms	cpd00450
3dhguln	cpd00473
hxan	cpd00226
2omhmbl	cpd15360
fcl__L	cpd01186
imacp	cpd00930
skm	cpd00383
trp__L	cpd00065
selnp	cpd03078
3c3hmp	cpd01646
hpmeACP	cpd22065
2hdec9eg3p	cpd15354
pant__R	cpd00408
oc2coa	cpd03130
chor	cpd00216
5prdmbz	cpd02904
fru	cpd00082
ppcoa	cpd00086
o16a3und	cpd15517
chol	cpd00098
uacgam	cpd00037
udpgalfur	cpd02338
dtdp	cpd00297
galur	cpd00280
3hoctaACP	cpd15371
56dura	cpd00337
t3c5ddeceACP	cpd15569
cechddd	cpd08405
murein4px4p4p	cpd15507
uagmda	cpd03494
meoh	cpd00116
allul6p	cpd15394
f1p	cpd00802
iasp	cpd03470
6pgl	cpd00911
cytd	cpd00367
succoa	cpd00078
dgmp	cpd00296
dcamp	cpd02375
acglu	cpd00477
6pgc	cpd00284
thmmp	cpd00793
hxa	cpd01113
so3	cpd00081
so2	cpd06201
lgt__S	cpd02182
xyl__D	cpd00154
so4	cpd00048
man	cpd00138
5aprbu	cpd02720
fe3hox_un	cpd15461
odecoa	cpd15274
dcdp	cpd00533
ura	cpd00092
gal1p	cpd00348
3pg	cpd00169
occoa	cpd01335
3hcvac11eACP	cpd15370
gp4g	cpd00925
uri	cpd00249
cdpdddecg	cpd15417
fecrm	cpd03724
but2eACP	cpd11465
aso4	cpd01048
aso3	cpd04098
pppg9	cpd00791
aacald	cpd04122
2tdec7eg3p	cpd15362
fum	cpd00106
phhlipa	cpd15549
2pglyc	cpd00727
23dhdp	cpd02120
preq1	cpd19185
preq0	cpd14718
udcpdp	cpd25775
tcynt	cpd01211
o2	cpd00007
gdpmann	cpd00083
acanth	cpd03773
mepn	cpd25960
cysi__L	cpd00381
arg__L	cpd00051
apoACP	cpd12370
utp	cpd00062
ggptrc	cpd15478
cyst__L	cpd19019
adphep_DD	cpd03830
no	cpd00418
sl2a6o	cpd02724
sucgsa	cpd03526
cbl1	cpd00635
cddec5eACP	cpd15415
athr__L	cpd03282
23dhba	cpd02494
mg2	cpd00254
uamag	cpd00525
ragund	cpd15562
f6p	cpd19035
phom	cpd00809
thptdn	cpd03361
3mop	cpd00508
gal_bD	cpd00709
rbflvrd	cpd00739
glu1sa	cpd02345
urdglyc	cpd00465
acmum	cpd01757
q8	cpd15560
dadp	cpd00177
ditp	cpd00977
LalaDglu	cpd15385
icolipa	cpd26459
3sala	cpd00467
2dr5p	cpd00510
peamn	cpd03161
3mob	cpd00123
methf	cpd00347
amet	cpd00017
3omrsACP	cpd11491
pi	cpd00009
taur	cpd00210
3ohcoa	cpd03123
stcoa	cpd00327
pe140	cpd15529
pe141	cpd15530
dnad	cpd00638
murein5p3p	cpd15509
uppg3	cpd00774
adprib	cpd00251
pgp181	cpd15548
pgp180	cpd15547
apg181	cpd15408
apg180	cpd26442
2ddglcn	cpd00176
dhpppn	cpd02501
dgtp	cpd00241
4hbz	cpd00136
kdolipid4	cpd03585
b2coa	cpd00650
dtmp	cpd00298
na15dap	cpd16379
dsbdrd	cpd15451
S2hglut	cpd02041
dtdp4d6dm	cpd00522
malt	cpd00179
inost	cpd00121
dtdp4d6dg	cpd00521
dgsn	cpd00277
dcacoa	cpd03128
thdp	cpd02465
frulys	cpd15466
kdo	cpd00875
fmnh2	cpd01270
4h2opntn	cpd02258
pe120	cpd15528
4hthr	cpd03608
3hpalmACP	cpd11481
3hdcoa	cpd03118
gln__L	cpd00053
apg161	cpd15406
apg160	cpd26443
3ophb	cpd03443
dcmp	cpd00206
pgp161	cpd15546
thymd	cpd00184
3hocoa	cpd03120
pgp160	cpd15545
alltn	cpd01092
thex2eACP	cpd11473
4ampm	cpd02775
3ocddec5eACP	cpd15373
btn	cpd00104
sq	cpd22614
2ippm	cpd01710
glc__D	cpd00027
alltt	cpd00388
frdp	cpd00350
prbatp	cpd01775
xtsn	cpd01217
suc6p	cpd01693
oxur	cpd00596
hemeO	cpd11313
mana	cpd00403
uacmamu	cpd03732
uracp	cpd21464
btcoa	cpd00120
2mahmp	cpd02894
acmanap	cpd02612
1ddecg3p	cpd15325
2mcit	cpd01501
but	cpd00211
pg120	cpd15535
2dglc	cpd00455
ctbtcoa	cpd15441
23cgmp	cpd03702
pgp141	cpd15544
dxyl	cpd03738
apg141	cpd15404
